Schrijversnamen OF;Namen Wikidata1;Wikidata Qnr;date of birth;date of death;NTA URI;namen NTA
Brouwer, Jelle;Jelle Brouwer;Q98903915;;;http://data.bibliotheken.nl/id/thes/p068611226;Brouwer, J.H. (1900-1981)
Brouwer, Marten;Marten Brouwer;Q67197889;1929-05-27;2001-08-30;http://data.bibliotheken.nl/id/thes/p068960670;Brouwer, Marten Jelles (1929-2001)
Bruggen, Peter van;Peter van Bruggen;Q5319840;1948-08-26;;http://data.bibliotheken.nl/id/thes/p100102395;Bruggen, Peter van (1948-)
Bruinsma, Klaas;Klaas Bruinsma;Q3136813;1931-02-01;2018-10-29;http://data.bibliotheken.nl/id/thes/p069155488;Bruinsma, Klaes (1931-2018)
Buddingh', C.;C. Buddingh';Q2232349;1918-08-07;1985-11-24;http://data.bibliotheken.nl/id/thes/p068364075;Buddingh', Cees (1918-1985)
Buising, Gerrit;Buising, Gerrit;;;;;Buising, Gerrit
Bult, Oene;Bult, Oene;;;;http://data.bibliotheken.nl/id/thes/p069424977;Bult, Oene (1928-2002)
Burg, Sjirk van den;Burg, Sjirk van den;;;;;Burg, Sjirk van den
Buriks, Elisabeth;Buriks, Elisabeth;;;;;Buriks, Elisabeth
Bylsma, Meindert;Meindert Bijlsma;Q1891218;1941-11-11;;http://data.bibliotheken.nl/id/thes/p069157448;Bylsma, Meindert (1941-)
Clavin, Hans;Hans Clavin;Q106693229;;;http://data.bibliotheken.nl/id/thes/p069915253;Clavin, Hans
Cnossen, Yttje;Cnossen, Yttje;;;;http://data.bibliotheken.nl/id/thes/p290731240;Cnossen, Yttje (1949-)
Craen, Wilfried van;Wilfried Van Craen;Q22691631;1951-06-07;;http://data.bibliotheken.nl/id/thes/p069008671;Van Craen, Wilfried (1951-)
Daen, Daniël (ps. Willem Abma);Daen, Daniël (ps. Willem Abma);;;;;Daen, Daniël (ps. Willem Abma)
Dam, Eppie;Eppie Dam;Q13135472;1953-03-05;;http://data.bibliotheken.nl/id/thes/p072801492;Dam, Eppie (1953-)
Dam, Freark;Freark Dam;Q18092912;1924-07-02;2002-07-04;http://data.bibliotheken.nl/id/thes/p068640528;Dam, Freark (1924-2002)
Dam, Leo van;Dam, Leo van;;;;;Dam, Leo van
Deel, Tom van;Tom van Deel;Q2115161;1945-02-21;2019-08-12;http://data.bibliotheken.nl/id/thes/p068243588;Deel, T. van (1945-2019)
Deelder, Jules;Jules Deelder;Q2675791;1944-11-24;2019-12-19;http://data.bibliotheken.nl/id/thes/p068566123;Deelder, J.A. (1944-2019)
Deswert, Fred;Deswert, Fred;;;;;Deswert, Fred
Dijk, Pier van;Dijk, Pier van;;;;http://data.bibliotheken.nl/id/thes/p241423252;Dijk, Pier Dirk van (1901-1967)
Ditzel, W.H.;Ditzel, W.H.;;;;;Ditzel, W.H.
Donk, Albert;Donk, Albert;;;;http://data.bibliotheken.nl/id/thes/p069214298;Donk, Albert
Doppenberg, Jeannette;Doppenberg, Jeannette;;;;http://data.bibliotheken.nl/id/thes/p100701329;Doppenberg, Jeannette (1974)
Dotinga, Jan;Jan Dotinga;Q18092942;1934-07-01;;;Dotinga, Jan
Dubbelhuis-Kooistra, R.;Dubbelhuis-Kooistra, R.;;;;;Dubbelhuis-Kooistra, R.
Duintjer, Geert;Duintjer, Geert;;;;http://data.bibliotheken.nl/id/thes/p400338718;Duintjer, Geert (1914-2014)
Dusselaar, Anneke;Dusselaar, Anneke;;;;;Dusselaar, Anneke
Duursma, Swaantsje;Swaantsje Monderman;Q13138163;1928-12-29;2007-12-13;http://data.bibliotheken.nl/id/thes/p074647164;Duursma, Swaantsje (1928-2007)
Dyk, Pier van;Dyk, Pier van;;;;;Dyk, Pier van
Dykstra, Jacobus;Dykstra, Jacobus;;;;;Dykstra, Jacobus
Dykstra, Waling;Waling Dykstra;Q739255;###############################################################################################################################################################################################################################################################;1914-01-05;http://data.bibliotheken.nl/id/thes/p070344256;Dykstra, Waling (1821-1914)
Eijck, Ans;Eijck, Ans;;;;;Eijck, Ans
Eijck, Sijbrand van;Eijck, Sijbrand van;;;;;Eijck, Sijbrand van
Engel, Arus;Engel, Arus;;;;;Engel, Arus
Ensing, B.;Ensing, B.;;;;;Ensing, B.
Faber, Hein;Hein Faber;Q13136062;1904-10-23;1970-09-25;http://data.bibliotheken.nl/id/thes/p072271620;Faber, Hein (1904-1970)
Falkena, Roel;Roel Falkena;Q18093001;1936-05-10;2021-02-20;http://data.bibliotheken.nl/id/thes/p069812330;Falkena, Roel (1936-2021)
Feddema-Dykstra, Tite;Feddema-Dykstra, Tite;;;;;Feddema-Dykstra, Tite
Flapper - de Vries, S.;Flapper - de Vries, S.;;;;;Flapper - de Vries, S.
Flipse, Robert Paul;Flipse, Robert Paul;;;;http://data.bibliotheken.nl/id/thes/p12971156X;Flipse, Robert Paul (1944-)
Fokkema, Douwe;Douwe Fokkema, Sr.;Q18343114;###############################################################################################################################################################################################################################################################;1983-01-01;http://data.bibliotheken.nl/id/thes/p24143064X;Fokkema, Douwe (1890-1983)
Folmer, Jan;Folmer, Jan;;;;;Folmer, Jan
Frankhuizen, Joe;Frankhuizen, Joe;;;;;Frankhuizen, Joe
Geest, Berber van der;Berber van der Geest;Q18093049;1938-02-19;;http://data.bibliotheken.nl/id/thes/p075020424;Geest, Berber van der (1938-)
Gelderblom, Arie;Arie Gelderblom;Q108346146;1945-06-16;1992-01-01;http://data.bibliotheken.nl/id/thes/p07107404X;Gelderblom, Arie (1945-1992)
Gemmink, Inge;Gemmink, Inge;;;;http://data.bibliotheken.nl/id/thes/p069005850;Gemmink, Inge
Gildemacher, Karel Ferdinand;Karel Ferdinand Gildemacher;Q13136552;1946-01-01;;http://data.bibliotheken.nl/id/thes/p068692528;Gildemacher, Karel F. (1946-)
Ginkel, Joop van;Ginkel, Joop van;;;;http://data.bibliotheken.nl/id/thes/p067864503;Ginkel, Joop van (luitenant-generaal)
Goswin, Rob;Rob Goswin;Q7340159;1943-01-01;;http://data.bibliotheken.nl/id/thes/p068006799;Goswin, Rob
Graafsma, Paula;Graafsma, Paula;;;;http://data.bibliotheken.nl/id/thes/p072795085;Graafsma, Paula
Gratama, Rients;Rients Gratama;Q2292828;1932-01-24;2017-09-06;http://data.bibliotheken.nl/id/thes/p070276358;Gratama, Rients (1932-2017)
Griensven, Adrie van;Griensven, Adrie van;;;;http://data.bibliotheken.nl/id/thes/p07111842X;Griensven, Adrie van (1947-)
Grilk, Pita;Pita Grilk;Q2233159;1905-07-21;1980-05-16;http://data.bibliotheken.nl/id/thes/p071864717;Grilk, Pita (1905-1980)
Groen, Hannie;Groen, Hannie;;;;http://data.bibliotheken.nl/id/thes/p07321471X;Groen, Hannie (1938-)
Groot, Pieter de;Groot, Pieter de;;;;;Groot, Pieter de
Gysbert Japicx;Gysbert Japiks;Q562144;###############################################################################################################################################################################################################################################################;###############################################################################################################################################################################################################################################################;http://data.bibliotheken.nl/id/thes/p068659660;Japicx, Gysbert (1603-1666)
Haan, Josse de;Josse de Haan;Q13136498;1941-01-20;2020-10-31;http://data.bibliotheken.nl/id/thes/p072801646;Haan, Josse de (1941-2020)
Halbertsma, Joast Hiddes;Justus Hiddes Halbertsma;Q943780;###############################################################################################################################################################################################################################################################;###############################################################################################################################################################################################################################################################;;Halbertsma, Joast Hiddes
Hanenburg, Kobe;Hanenburg, Kobe;;;;http://data.bibliotheken.nl/id/thes/p06781770X;Hanenburg, Jacoba J.H.M.
Hansen, Martin;Hansen, Martin;;;;;Hansen, Martin
Harteveld, Mevrouw;Harteveld, Mevrouw;;;;;Harteveld, Mevrouw
Hartog, Sybout;Hartog, Sybout;;;;http://data.bibliotheken.nl/id/thes/p154362190;Hartog, Sybout (1949-)
Hazeu, Wim;Wim Hazeu;Q1866693;1940-04-28;;http://data.bibliotheken.nl/id/thes/p069279950;Hazeu, Wim (1940-)
Heite, Remco;Remco Heite;Q13137599;1946-02-08;;http://data.bibliotheken.nl/id/thes/p067734790;Heite, Remco (1946-)
Hellinga, Anne;Anne Hellinga;Q13134620;1931-08-20;2004-03-31;http://data.bibliotheken.nl/id/thes/p074961497;Hellinga, Anne (1931-2004)
Hermus, Anton;Hermus, Anton;;;;http://data.bibliotheken.nl/id/thes/p068886004;Hermus, Anton
Hettema, Tsjisse;Tsjisse Hettema;Q13138429;1955-07-16;;http://data.bibliotheken.nl/id/thes/p148575587;Hettema, Tsjisse (1955-)
Hettinga, Eeltsje;Eeltsje Hettinga;Q2516070;1955-02-09;;http://data.bibliotheken.nl/id/thes/p07416385X;Hettinga, Eeltsje (1955-)
Hettinga, Tsjêbbe;Tsjêbbe Hettinga;Q6765769;1949-01-15;2013-03-07;http://data.bibliotheken.nl/id/thes/p068768257;Hettinga, Tsjêbbe (1949-2013)
Hettinga, Tsjêbbe en Binne Lútsen Boarnstra;Hettinga, Tsjêbbe en Binne Lútsen Boarnstra;;;;;Hettinga, Tsjêbbe en Binne Lútsen Boarnstra
Hoekstra, Aafke;Hoekstra, Aafke;;;;http://data.bibliotheken.nl/id/thes/p340506822;Hoekstra, A.T. (1982-)
Hoewijk, Michael van;Hoewijk, Michael van;;;;;Hoewijk, Michael van
Hof - de Boer, Lamkje;Lamkje Hof-De Boer;Q24348706;1908-01-01;1991-01-01;;Hof - de Boer, Lamkje
Holkema, A.;Holkema, A.;;;;http://data.bibliotheken.nl/id/thes/p067474500;Holkema, A.
Hollander, F.G.;Hollander, F.G.;;;;http://data.bibliotheken.nl/id/thes/p073236411;Hollander, F.G.
Hollema, Repke;Hollema, Repke;;;;http://data.bibliotheken.nl/id/thes/p093084951;Hollema, Repke
Holtrop, Benny;Benny Holtrop;Q16295500;1938-09-14;;http://data.bibliotheken.nl/id/thes/p074033808;Holtrop, Benny (1938-)
Holwerda, Frans;Frâns Holwerda;Q2118856;1938-03-17;2000-06-12;http://data.bibliotheken.nl/id/thes/p106668277;Holwerda, Frâns (1938-2000)
Holzhaus, Hanneke;Holzhaus, Hanneke;;;;http://data.bibliotheken.nl/id/thes/p085506052;Holzhaus, Hanneke
Hoogstraten, Harry;Harry Hoogstraten;Q97396435;1941-01-01;;http://data.bibliotheken.nl/id/thes/p068657722;Hoogstraten, Harry (1941-)
Hornstra, Lieuwe;Lieuwe Hornstra;Q18093134;1908-02-02;1990-08-25;http://data.bibliotheken.nl/id/thes/p071067175;Hornstra, L. (1908-1990)
Houtman, Harmen;Houtman, Harmen;;;;http://data.bibliotheken.nl/id/thes/p068345429;Houtman, Harmen (1951-)
Huber, Diet;Huber, Diet;;;;http://data.bibliotheken.nl/id/thes/p069651078;Huber, Diet (1924-2008)
Huisman, Bennie;Bennie Huisman;Q18093142;1947-06-06;;http://data.bibliotheken.nl/id/thes/p072314826;Huisman, Bennie (1947-)
Huisman, Ytsje;Huisman, Ytsje;;;;;Huisman, Ytsje
Huizinga, Douwe;Huizinga, Douwe;;;;;Huizinga, Douwe
Idserda, Jacques;Jacques Idserda;Q15876834;1918-07-08;2007-02-14;http://data.bibliotheken.nl/id/thes/p071286810;"Idserda, Jacques (1918-2007 ; vert. Oosteuropese talen en kinderboeken)"
IJsen, Ruud van;IJsen, Ruud van;;;;;IJsen, Ruud van
IJzer, Meta van;IJzer, Meta van;;;;http://data.bibliotheken.nl/id/thes/p067967094;IJzer, Meta van (1934-2014)
Jaarsma, Dam;Adam Jaarsma;Q2691633;1914-07-29;1991-07-10;http://data.bibliotheken.nl/id/thes/p073405175;Jaarsma, Dam (1914-1991)
Jansen - Strik;Jansen - Strik;;;;;Jansen - Strik
Jellema, Rod;Rod Jellema;Q7356244;1927-01-01;2018-01-01;http://data.bibliotheken.nl/id/thes/p071794107;Jellema, Rod (1927-)
Jepma, Jan;Jepma, Jan;;;;;Jepma, Jan
Johannsen, Albrecht;Albrecht Johannsen;Q20671;###############################################################################################################################################################################################################################################################;1967-01-01;http://data.bibliotheken.nl/id/thes/p07435440X;Johannsen, Albrecht (1888-1967)
Jong, Anny de;Anny de Jong;Q18093195;1946-01-01;;http://data.bibliotheken.nl/id/thes/p412013207;Jong, Anny de
Jong, Boukje Tsjerkje de;Jong, Boukje Tsjerkje de;;;;http://data.bibliotheken.nl/id/thes/p181405202;Jong, Boukje Tsjerkje de
Jong, Jaap de;Jong, Jaap de;;;;;Jong, Jaap de
Jong, Johannes Doedes de;Johannes Doedes de Jong;Q13136458;1912-11-25;1996-01-01;http://data.bibliotheken.nl/id/thes/p096522984;Jong, J.D. de (1912-1996)
Jong, Steven de;Steven de Jong;Q2314995;1962-06-26;;http://data.bibliotheken.nl/id/thes/p148675972;Jong, Steven de (1962-)
Jongsma, Cees;Jongsma, Cees;;;;http://data.bibliotheken.nl/id/thes/p108925420;Jongsma, Cees (1921-1996)
Jonker - Veenstra, Margje;Jonker - Veenstra, Margje;;;;;Jonker - Veenstra, Margje
Jonkman, Geart;Geert Jonkman;Q13135800;1910-01-28;1970-09-12;http://data.bibliotheken.nl/id/thes/p069314004;Jonkman, Geart (1910-1970)
Joris, Roland;Joris, Roland;;;;;Joris, Roland
Joseph, Robert;Joseph, Robert;;;;;Joseph, Robert
Joseph, Robert en Post, Jan;Joseph, Robert en Post, Jan;;;;;Joseph, Robert en Post, Jan
Jouk;Jouk;;;;;Jouk
Jousma, Anne;Anne Jousma;Q18093211;1900-03-03;1981-07-22;http://data.bibliotheken.nl/id/thes/p068196849;Jousma, Anne (1900-1981)
Kal, Jan;Jan Kal;Q2159141;1946-12-18;;http://data.bibliotheken.nl/id/thes/p074402420;Kal, Jan (1946-)
Kalmthout, Kees van;Kees van Kalmthout;Q110082119;1948-04-28;1991-11-16;http://data.bibliotheken.nl/id/thes/p069057370;Kalmthout, Kees van (1948-1991)
;;;1948-01-01;1991-01-01;;
Kaspersma, Jelle;Jelle Kaspersma;Q18093217;1948-01-01;;http://data.bibliotheken.nl/id/thes/p074180975;Kaspersma, Jelle (1948-2019)
Klinkenberg, Gerard van;Gerard van Klinkenberg;Q2187305;1900-12-17;2003-09-29;http://data.bibliotheken.nl/id/thes/p070220786;Klinkenberg, G.A. van (1900-2003)
Klinkhaemer, Peggy;Klinkhaemer, Peggy;;;;http://data.bibliotheken.nl/id/thes/p072656719;Klinkhaemer, Peggy
Kloosterman, Simke;Simke Kloosterman;Q18093241;###############################################################################################################################################################################################################################################################;1938-01-01;http://data.bibliotheken.nl/id/thes/p068770812;Kloosterman, Simke (1876-1938)
Klopstra, Peter H.;Klopstra, Peter H.;;;;;Klopstra, Peter H.
Kneepkens, Manuel;Manuel Kneepkens;Q2129110;1942-02-26;;http://data.bibliotheken.nl/id/thes/p068176236;Kneepkens, Manuel (1942-)
Koenegracht, Frank;Frank Koenegracht;Q2430283;1945-07-23;;http://data.bibliotheken.nl/id/thes/p070221049;Koenegracht, Frank (1945-)
Komrij, Gerrit;Gerrit Komrij;Q202489;1944-03-30;2012-07-05;http://data.bibliotheken.nl/id/thes/p068944446;Komrij, Gerrit (1944-2012)
Kooger, Hans;Kooger, Hans;;;;http://data.bibliotheken.nl/id/thes/p068646585;Kooger, Hans (1932-)
Kooistra, Jan;Jan Kooistra;Q20604736;1959-02-15;;http://data.bibliotheken.nl/id/thes/p068501315;Kooistra, Jan (1959-)
Kooistra, R.;Kooistra, R.;;;;http://data.bibliotheken.nl/id/thes/p069210667;Kooistra, R.
Koopmans, Anne;Anne Koopmans;Q13134626;1933-01-01;;http://data.bibliotheken.nl/id/thes/p132861550;Koopmans, Anne (1933-2004)
Kootstra, Douwe;Douwe Kootstra;Q13135333;1951-11-03;;http://data.bibliotheken.nl/id/thes/p07268965X;Kootstra, Douwe (1951-)
Kopland, Rutger;Rutger Kopland;Q2783414;1934-08-04;2012-07-11;http://data.bibliotheken.nl/id/thes/p068617887;Kopland, Rutger
Kouwenaar, Gerrit;Gerrit Kouwenaar;Q2045342;1923-08-09;2014-09-04;http://data.bibliotheken.nl/id/thes/p068390394;Kouwenaar, Gerrit (1923-2014)
Krikke, Sibbele;Krikke, Sibbele;;;;http://data.bibliotheken.nl/id/thes/p068811187;Krikke, Sibbele (1926-1999)
Kroes, Tine;Kroes, Tine;;;;http://data.bibliotheken.nl/id/thes/p241586623;Kroes, Tine (1917-1992)
Krol, Sybe;Sybe Krol;Q14422436;1946-12-17;1990-02-25;http://data.bibliotheken.nl/id/thes/p072691042;Krol, Sybe (1946-1990)
Kruiderink, Rienk;Kruiderink, Rienk;;;;http://data.bibliotheken.nl/id/thes/p113454570;Kruiderink, Rienk (1944-)
Kruyswijk, Richard;Kruyswijk, Richard;;;;;Kruyswijk, Richard
Kuip, Frits van der;Kuip, Frits van der;;;;http://data.bibliotheken.nl/id/thes/p073409812;Kuip, Frits van der (1955-)
Kuiper, Leen;Kuiper, Leen;;;;http://data.bibliotheken.nl/id/thes/p074138162;Kuiper, L.C. (1956-)
Kuiters, Swaantje;Kuiters, Swaantje;;;;;Kuiters, Swaantje
Kuyper, Sjoerd;Sjoerd Kuyper;Q3189605;1952-03-06;;http://data.bibliotheken.nl/id/thes/p068465653;Kuyper, Sjoerd (1952-)
Lasoen, Patricia;Patricia Lasoen;Q14052173;1948-09-25;;http://data.bibliotheken.nl/id/thes/p071931414;Lasoen, Patricia (1948-)
Laverman, Bartle;Bartle Laverman;Q13134743;1948-01-31;;http://data.bibliotheken.nl/id/thes/p071366105;Laverman, Bartle (1948-2020)
Leest, Reinder Rienk van der;Reinder van der Leest;Q13411192;1933-06-29;;http://data.bibliotheken.nl/id/thes/p068531427;Leest, R.R. van der (1933-)
Leij, Gerd de;Leij, Gerd de;;;;;Leij, Gerd de
Ley, Lourens J. van der;Ley, Lourens J. van der;;;;;Ley, Lourens J. van der
Liemburg, Johanneke;Johanneke Liemburg;Q2027501;1952-07-19;;http://data.bibliotheken.nl/id/thes/p068638892;Liemburg, Johanneke (1952-)
Lieshout, Peter van;Peter van Lieshout;Q2007463;1958-01-01;;http://data.bibliotheken.nl/id/thes/p06845158X;Lieshout, Peter van (1946-)
Lievaert, Inge;Lievaert, Inge;;;;http://data.bibliotheken.nl/id/thes/p241592550;Lievaert, Inge
Lont, Titia;Titia Lont;Q2752558;1963-01-01;;http://data.bibliotheken.nl/id/thes/p073955914;Lont, Titia (1963-)
Ludwig, Hannah;Hannah Ludwig;Q13135982;1943-02-04;2013-11-01;http://data.bibliotheken.nl/id/thes/p072107391;Ludwig, Hannah (1943-2013)
Luymen, June;Luymen, June;;;;;Luymen, June
Mak, Maurits;Mak, Maurits;;;;;Mak, Maurits
Marseille, Wim;Marseille, Wim;;;;;Marseille, Wim
Meer, Hindrik van der;Hindrik van der Meer;Q18093301;1938-07-04;;http://data.bibliotheken.nl/id/thes/p071629378;Meer, Hindrik van der (1938-)
Meer, Jurjen van der;Jurjen van der Meer;Q13136523;1957-07-09;;http://data.bibliotheken.nl/id/thes/p074475916;Meer, Jurjen van der (1957-)
Meer, Steven van der;Meer, Steven van der;;;;http://data.bibliotheken.nl/id/thes/p244026955;Meer, Steven van der (1945-)
Meulen, Durk van der;Meulen, Durk van der;;;;;Meulen, Durk van der
Michaëlis, Hanny;Hanny Michaelis;Q2090463;1922-12-19;2007-06-11;http://data.bibliotheken.nl/id/thes/p070223734;Michaelis, Hanny (1922-2007)
Miedema, Frou;Miedema, Frou;;;;;Miedema, Frou
Min, Neeltje Maria;Neeltje Maria Min;Q2180070;1944-07-21;;http://data.bibliotheken.nl/id/thes/p070223971;Min, Neeltje Maria (1944-)
Minke;Minke;;;;;Minke
Mok, Maurits;Maurits Mok;Q4334696;1907-11-07;1989-02-07;http://data.bibliotheken.nl/id/thes/p068959893;Mok, Maurits (1907-1989)
;;;;1989-02-08;;
Molen, Janke van der;Molen, Janke van der;;;;;Molen, Janke van der
Morriën, Adriaan;Adriaan Morriën;Q367612;1912-06-05;2002-06-07;;Morriën, Adriaan
Mulder, Tiny;Tiny Mulder;Q2241444;1921-04-02;2010-11-04;http://data.bibliotheken.nl/id/thes/p068614675;Mulder, Tiny (1921-2010)
N.N.;N.N.;;;;;N.N.
Natasja;Natasja Saad;Q242325;1974-10-31;2007-06-24;;Natasja
Nijmeijer, Peter;Peter Nijmeijer;Q52897839;;;http://data.bibliotheken.nl/id/thes/p068020228;Nijmeijer, Peter (1947-2016)
Nissen, Moritz;Moritz Momme Nissen;Q20567;###############################################################################################################################################################################################################################################################;1902-12-29;http://data.bibliotheken.nl/id/thes/p137674791;Nissen, Moritz Momme (1822-1902)
Oorsaal, M. van;Oorsaal, M. van;;;;;Oorsaal, M. van
